序号,楼盘名称,物业类型,销售状态,位置,房型,面积,标签,单价,总价
14,天峦湖二期,住宅,在售,坪山区/坪山/比亚迪路转坪马线公路大山陂水库东侧,3室/4室,建面 86-130㎡,绿化率高车位充足山水景观高拓展率,43000元/平(均价),总价340万/套起
15,深房传麒尚林,住宅,在售,龙岗区/龙岗双龙/丰田路73号,2室/3室,建面 69-124㎡,近地铁小户型现房绿化率高车位充足花园洋房品质住宅,38000元/平(均价),总价322万/套起
16,英郡年华三期时光里,商业类,在售,龙岗区/丹竹头/南湾街道,1室,建面 48-97㎡,品牌房企小户型现房绿化率高车位充足,36000元/平(均价),总价206万/套起
17,幸福珺湾,住宅,在售,宝安区/碧海/西乡大道与兴业路交汇处,3室,建面 63-133㎡,小户型现房车位充足花园洋房,68000元/平(均价),总价590万/套起
18,前海东岸,住宅,在售,南山区/南头/北环大道与南山大道交汇处,5室,建面 78-169㎡,品牌房企小户型现房绿化率高,85000元/平(均价),总价1318万/套起
19,朗泓龙园大观,住宅,在售,龙岗区/龙岗双龙/碧新路与新生路交汇处,5室,建面 156㎡,品牌房企现房绿化率高车位充足花园洋房,42000元/平(均价),总价660万/套起
20,前海观一,商业类,在售,宝安区/新安/创业路与前进路交汇处,5室,建面 335㎡,品牌房企现房绿化率高车位充足花园洋房近地铁,85000元/平(均价),总价3015万/套起
21,卓能雅苑,住宅,在售,龙华区/龙华新区/布 龙 公 路 北 侧,2室/3室/4室/5室,建面 77-131㎡,小户型现房绿化率高车位充足,55000元/平(均价),总价430万/套起
22,宝生Midtown,住宅,在售,福田区/石厦/沙头街道石厦北八街6号,3室/4室,建面 156-160㎡,现房绿化率高车位充足花园洋房近地铁,90000元/平(均价),总价1482万/套起
23,深城投中心公馆,住宅,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,4室,建面 95-147㎡,绿化率高,42000元/平(均价),总价400万/套起
24,佳华领域广场,住宅,在售,龙华区/观澜/地铁4号线延长线观澜中心站,3室/4室,建面 34-142㎡,小户型现房绿化率高车位充足,47000元/平(均价),总价653万/套起
25,龙光玖钻,写字楼,在售,龙华区/红山/腾龙路与中梅路交汇处,,,绿化率高,50000元/平(均价),暂无
26,阳基御龙山,住宅,在售,龙华区/观澜/龙华区福城办事处福前路南侧,3室,建面 76-111㎡,小户型现房绿化率高低密度,47000元/平(均价),总价495万/套起
27,塘朗城,商业类,在售,南山区/大学城/留仙大道南侧地铁五号线塘朗站B出口,1室/3室,建面 34-85㎡,小户型现房近地铁,65000元/平(均价),总价220万/套起
28,东方盛世花园二期,住宅,在售,龙岗区/布吉关/布吉镇草埔村,,,小户型绿化率高,57000元/平(均价),暂无
29,明发光明轩,写字楼,在售,光明区/公明/光明根玉路与田寮路交汇处,,,现房绿化率高低密度,35000元/平(均价),暂无
30,前海卓越时代广场,写字楼,在售,宝安区/宝安中心/宝华路与海天路交汇处东南角(宝安区政府附近),,,现房绿化率高低密度,75000元/平(均价),暂无
31,龙光玖钻,商业类,在售,龙华区/红山/中梅路与腾龙路交汇处,2室/3室,建面 39-97㎡,小户型绿化率高近地铁,60000元/平(均价),总价312万/套起
32,恒邦壹峯,商业类,在售,福田区/华强北/振华路89号,,,,85000元/平(均价),暂无
33,松茂御龙湾,商业类,在售,宝安区/碧海/银田路与宝怡路交汇处,1室/3室,建面 49-99㎡,小户型现房绿化率高近地铁,64000元/平(均价),总价313万/套起
34,中粮祥云,商业类,在售,龙岗区/大运新城/龙岗大道和如意路的交汇处,1室/2室/3室,建面 34-89㎡,小户型绿化率高,34000元/平(均价),总价160万/套起
35,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
36,满京华云著,住宅,在售,宝安区/松岗/中心北区，107国道与松福大道交汇处,4室,建面 73-151㎡,小户型绿化率高,44000元/平(均价),总价670万/套起
37,保利达小行星,商业类,在售,宝安区/车公庙/新桥立交东侧（新玉路与新明路交汇处）,1室,建面 20-30㎡,品牌房企小户型绿化率高,38000元/平(均价),总价80万/套起
38,凯旋TRC,住宅,在售,龙岗区/布吉街/金利路与金鹏路交汇处西北侧,1室/2室,建面 37-87㎡,小户型近地铁,56000元/平(均价),总价230万/套起
39,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
40,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
41,金地龙城中央一期,底商,在售,龙岗区/龙岗中心城/龙岗街道南联社区龙岗大道与龙城南路交汇处西南侧,,,绿化率高低密度,483万/套(均价),暂无
42,财富城,住宅,在售,坪山区/坪山/正山甲片区兰竹西路与长安二街西南交汇处,3室/4室/5室,建面 89-141㎡,绿化率高车位充足,39000元/平(均价),总价356万/套起
43,前海卓越时代广场,底商,在售,宝安区/宝安中心/宝华路与海天路交汇处东南角(宝安区政府附近),,,近地铁现房绿化率高,1300万/套(均价),暂无
44,佳兆业城市广场五期,商业类,在售,龙岗区/坂田/深圳坂雪岗科技城中浩一路、宝吉路交汇处,1室,建面 47㎡,品牌房企小户型绿化率高近地铁,40000元/平(均价),总价230万/套起
45,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
46,松茂御龙湾,住宅,在售,宝安区/碧海/银田路与宝怡路交汇处,3室/4室/5室,建面 89-270㎡,现房绿化率高车位充足近地铁,75000元/平(均价),总价670万/套起
47,AT MALL,底商,在售,龙华区/上塘/区腾龙路与简上路交汇处上塘地铁口,,,品牌房企现房车位充足,163000元/平(均价),暂无
48,万科深南道68號,商业类,在售,罗湖区/春风路/深南东路和文锦中路交汇处,,建面 48-93㎡,品牌房企小户型绿化率高车位充足花园洋房近地铁,60000元/平(均价),暂无
49,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
50,荣德SPACE,底商,在售,龙岗区/横岗/龙岗大道横岗地铁站C出口,,,品牌房企绿化率高低密度近地铁,150000元/平(均价),暂无
51,琳珠华庭,商业类,在售,龙岗区/龙岗中心城/龙翔大道与怡翠路交汇处,2室,建面 39-63㎡,小户型绿化率高,43000元/平(均价),总价222万/套起
52,泰富华悦都会,住宅,在售,坪山区/坪山/比亚迪路与新合路交汇处以西,3室/4室,建面 85-105㎡,绿化率高车位充足,34000元/平(均价),总价306万/套起
53,勤诚达前海世界,住宅,在售,宝安区/新安/创业二路与新安三路交汇处,2室/3室,建面 72-89㎡,品牌房企近地铁小户型绿化率高车位充足,83000元/平(均价),总价590万/套起
54,唐商前海双悦,商业类,在售,宝安区/沙井/广深公路与上星南路与交汇处,1室,建面 53㎡,小户型绿化率高,33000元/平(均价),总价175万/套起
55,赛格ECO中心,写字楼,在售,龙岗区/布吉水径/布吉街道布龙路18号,,,现房绿化率高,60000元/平(均价),暂无
56,赛格ECO中心,底商,在售,龙岗区/布吉水径/布吉街道布龙路18号,,,现房绿化率高,60000元/平(均价),暂无
57,融创智汇大厦,商业类,在售,龙华区/龙华中心/龙胜路和景龙建设路交汇处,2室,建面 50-53㎡,小户型绿化率高,45000元/平(均价),总价232万/套起
58,碧桂园凤凰国际智谷,商业类,在售,宝安区/西乡/西乡共和工业路,,建面 33-35㎡,小户型绿化率高,41000元/平(均价),总价140万/套起
59,实地剑兰郡,住宅,在售,罗湖区/地王/罗湖红桂路红桂横街27号,3室,建面 67-89㎡,品牌房企小户型绿化率高带花园,76000元/平(均价),总价590万/套起
60,勤诚达前海世界,写字楼,在售,宝安区/新安/创业二路与新安三路交汇处,,,品牌房企绿化率高近地铁,55000元/平(均价),暂无
61,联美新天地,住宅,在售,龙岗区/布吉南岭/大芬立交,4室,建面 114㎡,绿化率高车位充足花园洋房,50000元/平(均价),总价570万/套起
62,国速世纪大厦,商业类,在售,罗湖区/地王/蔡屋围宝安南路16、18号,1室/2室/3室,建面 48-99㎡,小户型绿化率高,66000元/平(均价),总价320万/套起
63,国速世纪大厦,写字楼,在售,罗湖区/地王/宝安南路16、18号,1室/2室/3室,建面 51-99㎡,小户型近地铁,58000元/平(均价),暂无
64,百花里,底商,在售,福田区/百花/百花三路2号,,,现房,350000元/平(均价),暂无
65,朗泓龙园大观二期,住宅,在售,龙岗区/龙岗双龙/碧新路与新生路交汇处,3室,建面 89-95㎡,现房绿化率高带花园花园洋房,40000元/平(均价),总价353万/套起
66,华联城市全景,住宅,在售,宝安区/新安/创业二路与公园路交汇处,5室,建面 221-253㎡,品牌房企近地铁现房绿化率高车位充足花园洋房,88000元/平(均价),总价2200万/套起
67,八方里,商业类,在售,罗湖区/地王/宝安南路与解放路交汇处,1室,建面 37-47㎡,近地铁小户型,210万/套(均价),总价220万/套起
68,润科华府,商业类,在售,宝安区/曦城/西乡街道洲石路与鹤州四路交汇处西北侧,1室/2室,建面 48-67㎡,小户型绿化率高,47000元/平(均价),总价225.6万/套起
69,新彩苑,商业类,在售,龙华区/梅林关/新区大道与宁远路交汇处,2室/3室,建面 73-93㎡,小户型绿化率高花园洋房,59000元/平(均价),总价430万/套起
70,佳兆业城市广场五期,底商,在售,龙岗区/坂田/深圳坂雪岗科技城中浩一路、宝吉路交汇处,1室,建面 50㎡,小户型绿化率高,100000元/平(均价),总价370万/套起
71,绿景红树湾壹号,住宅,在售,福田区/沙尾/沙嘴路与金地一路交汇处东南侧,,建面 176-242㎡,品牌房企现房绿化率高车位充足花园洋房近地铁,90000元/平(均价),总价1513万/套起
72,天福华府,住宅,在售,宝安区/西乡/西乡107国道黄田三围段（翠湖花园对面）,2室/3室/4室,建面 85-129㎡,品牌房企现房绿化率高车位充足花园洋房,53000元/平(均价),总价450万/套起
73,融创智汇大厦,底商,在售,龙华区/龙华中心/龙胜路和景龙建设路交汇处,,,绿化率高近地铁,60000元/平(均价),暂无
74,京基御景峯,商业类,在售,南山区/大学城/长岭陂站A1出口,3室/4室,建面 116-158㎡,品牌房企绿化率高近地铁车位充足,75000元/平(均价),总价870万/套起
75,中骏云景府,住宅,在售,龙岗区/坪地/深汕公路与深汕高速交汇处,3室/4室,建面 69-95㎡,小户型绿化率高,35000元/平(均价),总价340万/套起
76,前海禧食街,底商,在售,宝安区/西乡/固戍一路与红湾路交汇处,,,绿化率高近地铁,70000元/平(均价),暂无
77,红山壹品,商业类,在售,龙华区/红山/民繁路与民宝路交汇处 4号线红山地铁站A出口,2室/3室/4室,建面 70-122㎡,小户型绿化率高,75000元/平(均价),总价525万/套起
78,中洲湾,商业类,在售,福田区/上下沙/上沙大道与上沙椰树路交汇处,1室/2室,建面 35-60㎡,小户型绿化率高车位充足,85000元/平(均价),总价265万/套起
79,平湖佳兆业广场,商业类,在售,龙岗区/平湖/平湖街道守珍街与平湖大道交汇处西南侧,1室,建面 39-66㎡,小户型绿化率高,31500元/平(均价),总价120万/套起
80,佳兆业城市广场六期,商业类,在售,龙岗区/坂田/雪岗北路与坂雪岗大道交汇处,1室/2室/3室,建面 47-85㎡,品牌房企小户型绿化率高,44000元/平(均价),总价215万/套起
81,锦龙荟,底商,在售,福田区/华强南/南园路159（华强南地铁口东侧500米）,,,现房绿化率高,230000元/平(均价),暂无
82,蓝郡公馆,商业类,在售,盐田区/沙头角/沙头角街道沙深路西侧,1室/2室/3室,建面 52-126㎡,小户型绿化率高,55000元/平(均价),总价285万/套起
83,融创智汇大厦,写字楼,在售,龙华区/龙华中心/龙胜路和景龙建设路交汇处,,,绿化率高近地铁,33000元/平(均价),暂无
84,英达钰龙园,底商,在售,南山区/南头/南新路3058号,,,现房绿化率高,85000元/平(均价),暂无
85,中粮创芯公园,商业类,在售,宝安区/新安/宝安区新安街道,1室/2室,建面 45-75㎡,品牌房企小户型绿化率高,39000元/平(均价),总价180万/套起
86,卓越中寰,商业类,在售,宝安区/沙井/沙井街道镇环路,1室,建面 43㎡,小户型绿化率高,37000元/平(均价),总价160万/套起
87,卓越中寰,底商,在售,宝安区/沙井/深圳市沙井街道镇环路,,,绿化率高,38000元/平(均价),暂无
88,顺泽阳光公馆,住宅,在售,龙岗区/龙岗宝荷/碧新路与宝荷路交汇处,3室/4室,建面 54-89㎡,小户型绿化率高,38000元/平(均价),总价240万/套起
89,卓越弥敦道,底商,在售,龙岗区/横岗/横岗街道四联路东侧,,,绿化率高,106万/套(均价),暂无
90,佳兆业E立方,商业类,在售,龙华区/观澜/高尔夫大道与环观南路交汇处,,,绿化率高,42000元/平(均价),暂无
91,壹成中心壹成里,底商,在售,龙华区/龙华中心/东环一路壹成中心壹成里,,,现房绿化率高,180000元/平(均价),暂无
92,嘉霖微商大楼,商业类,在售,龙华区/观澜/广东省深圳市龙华区观光路与龙澜大道交汇东北侧,2室,建面 45㎡,小户型绿化率高,31000元/平(均价),总价190万/套起
93,碧湖花园,商业类,在售,罗湖区/洪湖/洪湖路23号,1室/2室,建面 30-36㎡,近地铁小户型,55000元/平(均价),总价203万/套起
94,方大城,写字楼,在售,南山区/华侨城/龙珠四路2号,,,现房绿化率高,65000元/平(均价),暂无
95,汇龙天下,商业类,在售,龙岗区/龙岗中心城/龙城大道132号,1室/4室,建面 38-96㎡,近地铁小户型绿化率高,32000元/平(均价),总价126.1万/套起
96,世茂•粤湾壹号,商业类,在售,坪山区/坪山/中山大道世茂•粤湾壹号,,,,31000元/平(均价),暂无
97,前海科创中心,商业类,在售,宝安区/碧海/西乡大道308号,1室,建面 70-120㎡,小户型,31000元/平(均价),总价300万/套起
98,深圳·国际影视文化城,商业类,在售,坪山区/坪山/金碧路353号,1室/2室,建面 46-82㎡,小户型绿化率高,25500元/平(均价),总价120万/套起
99,山海四季城·王座,住宅,在售,盐田区/盐田港/盐田北四街山海四季城·王座,3室/4室/5室,建面 75-122㎡,小户型绿化率高,57000元/平(均价),总价415万/套起
100,和平天地,底商,在售,龙华区/上塘/民塘路与和平路交汇处（地铁4号线龙胜站）,,,绿化率高,160000元/平(均价),暂无
101,富润·乐庭,住宅,在售,坪山区/坪山/东纵路富润·乐庭,2室/3室/4室,建面 75-133㎡,小户型绿化率高,36000元/平(均价),总价263万/套起
102,佳兆业盐田城市广场,住宅,在售,盐田区/盐田港/盐田路24号,3室,建面 71-119㎡,品牌房企小户型绿化率高车位充足花园洋房,48000元/平(均价),总价430万/套起
103,淘金山 · 湖景花园二期,住宅,在售,罗湖区/布心/南岭公园管理队南侧,3室,建面 89-150㎡,近地铁现房绿化率高花园洋房,78000元/平(均价),总价720万/套起
104,淘金山 · 湖景花园二期,别墅,在售,罗湖区/布心/罗湖罗湖区布心翠荫路188号,4室/5室,建面 252-330㎡,近地铁现房绿化率高花园洋房,173000元/平(均价),总价4360万/套起
105,大族云峰,住宅,在售,龙岗区/坂田/永香路与坂雪岗大道交汇处（坂田站A出口南800米）,2室/3室,建面 92-166㎡,品牌房企绿化率高车位充足花园洋房近地铁,59000元/平(均价),总价542万/套起
106,龙光玖钻,底商,在售,龙华区/红山/中梅路与腾龙路交汇处,1室,建面 40-70㎡,小户型绿化率高车位充足近地铁,110000元/平(均价),总价513万/套起
107,锦绣御园,住宅,在售,龙华区/龙华中心/三联路与创业路交口,3室/4室,建面 138-200㎡,现房绿化率高车位充足花园洋房,55000元/平(均价),总价718万/套起
108,君成雍和园,住宅,在售,宝安区/西乡/前进2路92号,2室/3室/4室,建面 53-206㎡,品牌房企小户型现房绿化率高车位充足花园洋房,70000元/平(均价),总价511万/套起
109,深城投&中城AIO,住宅,在售,坪山区/坪山/坪山大道与深汕路交汇处,3室/4室,建面 86-125㎡,绿化率高近地铁,38000元/平(均价),总价325万/套起
110,里城玺樾山,住宅,在售,龙岗区/布吉水径/深圳吉华 三联郊野公园布李路西侧,3室/4室,建面 80-107㎡,品牌房企小户型绿化率高车位充足,52000元/平(均价),总价550万/套起
111,恒大城市之光,商业类,在售,龙岗区/龙岗中心城/龙岗龙岗大道与如意路交汇处,1室/2室,建面 35-71㎡,品牌房企小户型近地铁,34000元/平(均价),总价115万/套起
112,联建君钰府,住宅,在售,宝安区/新安/前进一路与同和路交汇处北侧，沃尔玛旁,4室,建面 84-119㎡,绿化率高,64000元/平(均价),总价700万/套起
113,天誉city mall,底商,在售,龙岗区/龙岗中心城/龙岗大道与德政路交汇处,,,现房绿化率高车位充足,633万/套(均价),暂无
114,惠州星河盛世,住宅,在售,惠阳/淡水/惠州市惠阳区白云新城内环路,3室/4室,建面 74-139㎡,小户型绿化率高低密度,14000元/平(均价),总价103万/套起
115,长通熙园,住宅,在售,惠阳/南站新城/惠州市惠阳区淡水开城大道南148号,2室/3室/4室,建面 69-129㎡,小户型绿化率高车位充足,13500元/平(均价),总价92万/套起
116,冠科泊樾湾,商业类,在售,虎门镇/万达/虎门镇358省道龙眼路段37号,2室/3室/4室,建面 49-75㎡,小户型,20000元/平(均价),总价110万/套起
117,小径海岸城花园,住宅,在售,惠东/惠东县/霞涌小径湾,1室/2室/3室/4室,建面 46-140㎡,小户型绿化率高车位充足,11000元/平(均价),总价60万/套起
118,合正东部湾,别墅,在售,惠东/惠东县/惠州市惠东县稔山镇亚婆角旅游度假区（广惠高速管理中心出口）,3室,建面 244㎡,品牌房企绿化率高车位充足低密度花园洋房,17000元/平(均价),总价500万/套起
119,德洲城六期,住宅,在售,大亚湾/大亚湾西区/惠州市大亚湾西区樟树埔龙山一路61号,2室/3室,建面 78-121㎡,小户型绿化率高车位充足,17600元/平(均价),总价136万/套起
120,德洲城一期,住宅,在售,塘厦镇/塘厦镇/塘厦林村林中路1号,3室/5室,建面 77-125㎡,小户型现房绿化率高车位充足复式,25000元/平(均价),总价207万/套起
121,九洲玉带湾,住宅,在售,惠阳/淡水/惠阳区秋水街道西湖村地段,2室/3室/5室,建面 80-120㎡,品牌房企小户型绿化率高车位充足,13800元/平(均价),总价152万/套起
122,嘉华星际湾,住宅,在售,石龙镇/石龙镇/西湖中路111号（原西湖酒店）,3室/4室,建面 95-232㎡,品牌房企现房车位充足,17000元/平(均价),总价161万/套起
123,春晖国际城,住宅,在售,塘厦镇/塘厦镇/东莞市塘厦镇林村社区,2室/3室/4室,建面 96-166㎡,现房绿化率高车位充足,22000元/平(均价),总价220万/套起
124,山语龙庭,住宅,在售,惠阳/淡水/惠州市惠阳区淡水东门白云五路中段,3室,建面 100-125㎡,绿化率高车位充足,11900元/平(均价),总价120万/套起
125,锦绣壹号,住宅,在售,大亚湾/大亚湾区/惠州市大亚湾西区石化大道西299号,3室/4室,建面 85-110㎡,品牌房企车位充足,19500元/平(均价),总价164万/套起
126,碧桂园太东天樾湾,住宅,在售,大亚湾/大亚湾区/惠州市大亚湾中心区中心南路与中兴六路交叉位置,3室/4室,建面 90-140㎡,品牌房企现房绿化率高车位充足,13000元/平(均价),总价138万/套起
127,海悦湾,住宅,在售,大亚湾/大亚湾区/惠州大亚湾霞涌霞光二路18号,1室/2室,建面 52-86㎡,小户型现房绿化率高低密度,20000元/平(均价),总价110万/套起
128,富力湾,别墅,在售,惠东/惠东县/稔山镇范和湾跨海大桥旁,4室,建面 177-181㎡,绿化率高车位充足低密度花园洋房,22000元/平(均价),总价389万/套起
129,富力湾,住宅,在售,惠东/惠东县/稔山镇范和湾跨海大桥旁,1室/2室/3室,建面 46-123㎡,小户型现房绿化率高车位充足低密度花园洋房,12500元/平(均价),总价50万/套起
130,鼎浩城,住宅,在售,惠城/惠城区/惠州市惠城区马安镇群乐路8号（马安镇政府旁）,4室,建面 122㎡,绿化率高低密度,9200元/平(均价),总价112万/套起
131,新力东园,住宅,在售,大亚湾/大亚湾中心区/惠州市大亚湾中兴中路与中兴北路交汇处,3室,建面 90-106㎡,绿化率高低密度,13000元/平(均价),总价120万/套起
132,合正东部湾,住宅,在售,惠东/惠东县/惠州市惠东县稔山镇亚婆角旅游度假区（广惠高速管理中心出口）,2室,建面 110㎡,品牌房企绿化率高车位充足低密度花园洋房,16000元/平(均价),总价143万/套起
133,保利阳光城,住宅,在售,惠阳/淡水/淡水内环路西侧,4室,建面 134㎡,绿化率高车位充足,13900元/平(均价),总价185万/套起
134,实地常春藤,住宅,在售,惠阳/惠阳区/惠州市惠阳区惠南大道与联星路交汇处,3室/4室,建面 88-142㎡,绿化率高车位充足,10800元/平(均价),暂无
135,壹方水榭,住宅,在售,惠阳/淡水/惠阳区淡水内环路西侧（淡水河旁）,2室/3室/4室,建面 89-120㎡,绿化率高车位充足,14500元/平(均价),总价136万/套起
136,颐景湾畔,底商,在售,樟木头镇/樟木头镇/樟木头笔架山路与石新路交界处,,,绿化率高低密度,25000元/平(均价),暂无
137,颐景湾畔,住宅,在售,樟木头镇/樟木头镇/樟木头笔架山路与石新路交界处,3室,建面 100-114㎡,绿化率高低密度,16800元/平(均价),总价170万/套起
138,时代天境,住宅,在售,石排镇/石排镇/东莞市石排镇水贝村,3室/4室,建面 87-137㎡,现房绿化率高车位充足低密度,18500元/平(均价),总价170万/套起
139,锦江海悦中心,住宅,在售,惠阳/南站新城/惠州市惠阳区淡水东华大道中32号,3室,建面 107-114㎡,绿化率高低密度,15000元/平(均价),总价160万/套起
140,鼎峰悦境,住宅,在售,长安镇/宵边/霄边大街98号,2室/3室/4室,建面 76-121㎡,小户型绿化率高车位充足,30000元/平(均价),总价228万/套起
141,碧桂园狮子洋,住宅,在售,沙田镇/沙田镇/沙田东莞市沙田镇临港路108号,2室/3室,建面 80-108㎡,小户型绿化率高低密度,21000元/平(均价),总价165万/套起
142,御梓园,住宅,在售,惠阳/南站新城/惠州市惠阳区龙海一路与龙山二路交汇处,2室/3室/4室,建面 77-117㎡,小户型绿化率高车位充足,13500元/平(均价),总价105万/套起
143,美悦湾,住宅,在售,大亚湾/大亚湾中心区/大亚湾中兴五路东侧（体育馆北）,3室,建面 91㎡,车位充足,12300元/平(均价),总价113万/套起
144,玖颂江湾,商业类,在售,石碣镇/石碣镇/石碣崇焕中路133号,1室/3室,建面 32-74㎡,小户型现房绿化率高,15000元/平(均价),总价50万/套起
145,揽胜湾,住宅,在售,常平镇/常平镇/太和路8号,2室/3室/4室,建面 77-166㎡,小户型绿化率高,16500元/平(均价),总价126万/套起
146,玖颂江湾,住宅,在售,石碣镇/石碣镇/石碣崇焕中路133号,3室/4室,建面 88-122㎡,现房绿化率高,15000元/平(均价),总价142万/套起
147,和昌·众筑中央园著,住宅,在售,黄江镇/黄江镇/东莞市黄江镇锦绣路7号,,,,21000元/平(均价),暂无
148,天盛海湾里,住宅,在售,惠东/惠东县/广东省惠州市惠东县平海镇，双月湾景区南门海旁，	港口跨海大桥西侧,1室/3室,建面 49-114㎡,小户型绿化率高,98万/套(均价),总价100万/套起
149,家路壹号,住宅,在售,惠阳/南站新城/淡水承修四路南侧草洋片区,3室/4室,建面 94-122㎡,绿化率高,14000元/平(均价),暂无
150,联华花园城,商业,在售,东城区/上下桥/广东省东莞市东城区环城东路400号（碧桂园-苹果旁）,0室,建面 83-167㎡,现房绿化率高,21000元/平(均价),总价210万/套起
151,虹海金岸,住宅,在售,惠东/惠东县/东山海地段虹海金岸,1室/2室,建面 48-64㎡,小户型绿化率高,87万/套(均价),暂无
152,新力珑湾,住宅,在售,惠阳/惠阳区/惠阳经济开发区御和路,2室/3室,建面 52-108㎡,小户型绿化率高,10500元/平(均价),总价62万/套起
153,御玺山大峡谷,住宅,在售,大亚湾/大亚湾区/惠州大亚湾石化大道与龙山九路交汇处,2室/3室,建面 78-99㎡,小户型绿化率高,13300元/平(均价),总价107万/套起
154,万科大中江南院子,别墅,在售,沙田镇/沙田镇/沙田东莞滨海湾沿江高速沙田出口,4室,建面 141㎡,绿化率高,29000元/平(均价),总价400万/套起
155,瀚柏·青柠时代,住宅,在售,万江区/客运总站/莲子坊商业大道2号,1室/2室/3室,建面 51-102㎡,小户型绿化率高带飘窗,17000元/平(均价),总价92万/套起
156,实地木槿雅著,住宅,在售,惠阳/惠阳区/三和街道实地木槿雅著,3室/4室/5室,建面 95-130㎡,绿化率高,10800元/平(均价),总价103万/套起
157,悦玺公馆,住宅,在售,大亚湾/大亚湾区/广东省惠州市大亚湾澳头大涌路与中兴二路交汇处,2室/3室/4室,建面 68-118㎡,小户型绿化率高,12000元/平(均价),暂无
158,万科大中江南院子,住宅,在售,沙田镇/沙田镇/沙田东莞滨海湾沿江高速沙田出口,3室/4室,建面 93-116㎡,品牌房企绿化率高,18500元/平(均价),总价175万/套起
159,奥园城市天地,商业类,在售,樟木头镇/樟木头镇/先威大道85号,2室/3室/4室/5室,建面 27-73㎡,小户型,15500元/平(均价),总价45万/套起
160,碧桂园润杨溪谷,住宅,在售,惠阳/南站新城/惠阳区沙田镇田头村碧桂园润杨溪谷,2室/3室,建面 94-125㎡,绿化率高,12500元/平(均价),暂无
161,碧桂园润杨溪谷,别墅,在售,惠阳/南站新城/惠阳区沙田镇田头村碧桂园润杨溪谷,,,绿化率高,36000元/平(均价),暂无
162,侨信云起,住宅,在售,塘厦镇/塘厦镇/塘厦镇大坪黎塘三路8号,3室,建面 99-160㎡,绿化率高,26000元/平(均价),总价247万/套起
163,响水河畔,住宅,在售,大亚湾/大亚湾西区/响水北路5号,2室,建面 82㎡,绿化率高,12500元/平(均价),暂无
